aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.210249409968,4.1,-1.5,69.4,0.0,15.6,1024.4,6,1933.0125336872948
3000.4204172293544,4.1,1.7,84.5,0.0,17.0,1020.0,2,1942.1319702604944
2985.609639531024,3.7,2.0,89.6,0.0,14.3,1020.3,4,1896.5690489764595
2984.3947074400435,4.6,3.4,91.7,0.119,33.9,1013.3,1,1912.4756686720127
3000.004859112862,6.1,-1.6,61.3,0.0,35.1,1011.2,6,1952.6818601221416
3000.004859112862,4.4,-1.9,67.7,0.0,39.2,1014.1,6,1952.6818601221416
3000.9122428281826,6.9,-1.7,59.1,0.0,47.2,1010.4,6,1905.659559224841
3003.5373421218974,6.9,-4.8,45.9,0.0,56.9,1004.3,5,1894.401736467292
3003.801531494916,3.9,-10.4,40.0,0.0,28.5,1014.2,6,1894.261176923785
3000.727124296095,9.6,-11.8,21.7,0.0,34.7,1007.0,6,1897.2632690965213
3000.0074559533605,11.8,-8.8,24.6,0.0,53.2,1002.2,6,1896.173786500336
3000.00128488875,5.7,-13.1,28.0,0.0,48.9,1012.4,6,1903.199474945456
3009.016070491279,6.7,-11.5,29.4,0.0,30.6,1013.0,7,1898.1378525007544
2999.4595434205844,-8.2,-14.4,61.0,0.0,26.4,1019.3,6,1929.8317894556028
2999.889736087061,-7.9,-18.3,43.9,0.0,48.4,1022.3,6,1951.8078119945324
3000.1629562639096,-7.0,-19.1,38.3,0.0,31.7,1028.6,6,1966.476816176285
3000.203849802308,2.3,-13.0,33.5,0.0,25.6,1016.8,6,1933.9283892178269
3000.4874959699937,12.4,-4.8,31.4,0.0,26.6,1013.1,6,1909.590289921311
3000.264325371664,0.1,-11.1,44.4,0.0,41.5,1029.1,6,1924.469886359255
2999.955374633673,-1.9,-13.7,40.7,0.0,22.3,1028.5,6,1938.446173492434
2977.6187273062696,2.4,-3.2,68.9,0.132,36.7,1019.4,3,1903.403624898085
3028.8246008559363,6.8,3.9,83.9,0.132,18.2,1013.4,6,1899.7367844139997
3029.317091004982,9.5,6.5,84.3,1.657,23.8,1012.1,5,1911.318482084637
3021.067898519776,8.8,6.8,89.2,0.36,17.8,1014.7,6,1905.7303039800136
3027.8212640227343,9.8,4.0,72.0,0.0,25.4,1015.1,6,1926.148331124734
3001.222953002804,9.9,4.4,70.3,1.487,31.3,1015.0,6,1884.6218541536136
3000.6117764577784,8.8,1.3,63.3,0.0,25.0,1026.1,6,1907.8276609148224
3000.184899191755,9.4,-1.0,53.4,0.0,16.2,1027.8,6,1919.7700624015167
3000.369198470757,10.8,-1.1,46.8,0.0,13.7,1024.6,7,1908.506657127004
3017.544357919506,10.7,-0.3,50.7,0.0,8.9,1022.4,6,1918.0344555939064
2988.8167118897554,12.2,1.0,48.6,0.0,21.1,1020.7,5,1894.951831668324
2983.440958159147,15.1,4.1,51.1,0.0,22.9,1013.4,7,1908.790942949017
3019.850309653272,15.1,5.3,57.2,0.0,52.2,1004.5,6,1911.4245338674616
3001.761420600603,11.4,-2.2,40.9,0.0,48.8,1001.4,7,1903.5214004697464
3000.924467788768,11.5,-5.5,31.3,0.0,39.7,1009.8,7,1906.422546585859
3000.123690040331,8.5,2.0,65.6,0.0,19.0,1020.9,7,1911.5934950842232
3000.1598651037284,10.6,2.8,60.8,0.0,27.8,1017.4,7,1913.8632974664752
2986.4463559836145,12.7,3.1,52.6,0.0,36.4,1008.8,5,1925.5403262790112
3025.672449226485,10.7,-2.2,42.5,0.0,31.3,1013.3,5,1900.9510391035492
3012.0819927478474,11.9,-2.9,40.8,0.0,25.0,1012.2,5,1919.0342641317372
3000.429896295876,13.4,-1.0,40.9,0.199,28.5,1007.4,8,1908.7406883863284
3000.429896295876,5.1,1.6,79.0,1.003,34.6,1012.8,5,1908.7406883863284
3000.01504988564,5.9,-2.8,59.1,0.0,25.0,1019.8,7,1934.664422005664
3000.01504988564,9.5,-4.1,44.9,0.0,22.5,1017.2,7,1934.664422005664
3000.5751271861727,13.0,-3.1,38.7,0.0,25.1,1015.7,7,1906.777062415644
3000.5751271861727,13.6,-0.6,47.9,0.0,22.3,1017.4,6,1906.777062415644
2986.074454497169,11.5,1.9,54.8,0.0,31.8,1015.2,6,1917.713390506304
2999.989018909072,1.0,-5.7,62.0,0.0,33.0,1025.6,7,1932.5946078659924
3000.0334334086365,3.8,-6.1,50.1,0.0,22.8,1021.8,7,1926.929329335448
3000.4292649290014,13.4,-4.5,34.4,0.0,22.5,1016.9,8,1916.525689991673
3000.715079295228,17.8,-4.3,28.0,0.0,27.2,1018.6,8,1901.2853681864708
3000.8346221214915,19.4,0.4,33.6,0.0,34.1,1013.3,8,1896.776246518496
3000.643887395522,16.4,-6.7,20.8,0.0,30.9,1012.7,8,1907.5426277527256
3000.268007188716,12.3,-1.4,40.7,0.0,14.5,1019.2,7,1912.316169662958
3000.3198426395325,15.3,0.4,38.8,0.0,30.0,1017.9,8,1916.4132652622368
3000.3198426395325,18.9,-3.4,27.6,0.0,24.4,1014.2,8,1916.4132652622368
2982.63827621012,21.8,-2.1,20.9,0.0,29.6,1011.1,6,1898.3539498014804
3029.187631686319,21.2,-1.7,22.3,0.0,47.5,1006.0,4,1930.2877919922985
3030.1161230079847,8.1,-7.4,33.2,0.0,40.4,1021.7,4,1917.9177646056444
3000.933585286965,5.8,1.6,77.0,7.185,24.6,1021.9,8,1898.527215789956
3000.5464801623907,13.4,2.4,54.3,0.0,22.9,1015.8,8,1894.272040866825
3000.1593750378165,17.4,-0.6,33.2,0.0,31.3,1012.3,8,1890.0168659436947
2975.2276518654385,17.9,-6.0,23.0,0.0,42.6,1007.9,6,1907.9675287281525
3003.0291197774163,17.8,-1.3,34.3,0.0,27.1,1008.4,8,1918.6376726806868
2999.508101107591,17.3,-3.8,25.9,0.0,22.7,1010.5,9,1930.785983533858
2991.7961621070035,16.7,0.5,42.7,0.0,24.6,1009.5,8,1901.056078607596
