aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
2997.6932500582416,2.8,-3.3,67.4,0.0,24.0,1025.7,5,1909.3386693165403
2976.0619711347617,4.1,-2.1,64.6,0.0,22.5,1021.4,5,1900.8497453372256
3000.018661995758,3.8,-3.1,64.8,0.0,18.4,1020.7,5,1909.9752289864805
3000.018661995758,2.8,1.0,88.1,11.09,31.7,1015.6,1,1909.9752289864805
3012.965114543524,2.2,-0.1,85.2,6.042,24.3,1010.9,3,1894.0629578146663
2970.9768004840025,1.5,-4.1,67.8,0.0,22.4,1014.4,5,1894.818816071004
3013.7184384893785,4.9,-3.1,57.3,0.0,33.5,1008.9,3,1883.9442841935656
3013.2938957222736,2.5,-2.5,70.5,0.432,61.2,999.1,5,1890.5445455608449
2999.985232051322,-0.1,-10.0,49.1,0.0,33.7,1011.9,6,1869.379334456588
2999.9925323645284,5.7,-6.0,44.6,0.0,35.4,1003.2,6,1875.665349383218
2999.999832677735,4.9,-7.0,45.5,0.0,48.5,1001.2,6,1881.9513643098485
2986.8212503836507,-1.0,-13.4,44.2,0.0,33.8,1010.9,6,1882.8050923763096
3002.116774510148,-7.7,-15.2,56.6,0.0,38.7,1017.4,6,1885.2471090084905
2970.9372440784346,-13.5,-21.6,52.2,0.0,24.1,1025.6,6,1917.1770404161048
3017.3629067312127,-12.4,-18.6,61.1,0.0,35.0,1027.4,5,1896.4586036714643
3018.93134264226,-7.7,-18.7,44.2,0.0,23.9,1027.8,6,1885.789910325185
3000.005867135951,6.2,-10.8,31.3,0.0,34.8,1009.2,6,1900.364262728702
2999.9821960111167,3.8,-5.8,54.1,0.0,50.6,1014.8,6,1900.3266717335
2999.9585248862827,-5.4,-14.9,48.5,0.0,38.8,1034.2,6,1900.289080738297
2998.158520776132,-4.1,-14.6,45.2,0.0,31.6,1029.7,5,1900.625468114478
3025.406195260661,0.3,-9.5,49.1,0.0,31.8,1018.6,3,1887.2434768420176
2973.4132671866096,6.7,2.2,74.4,0.0,27.8,1012.2,6,1892.6809122718523
3007.366598153614,2.2,1.3,93.6,0.0,14.8,1015.7,1,1896.643102975656
2984.001764883123,3.6,2.2,90.3,0.007,16.5,1017.8,2,1908.2266132766276
3024.4197514699613,6.8,4.7,87.1,0.0,19.4,1015.4,5,1897.4839901315308
3023.571659139318,6.0,5.1,93.7,8.908,24.1,1018.8,1,1883.8908944950024
2999.985106446225,6.5,-0.3,64.8,0.007,24.2,1027.1,6,1899.150878288612
2999.985106446225,8.6,-2.1,51.7,0.0,22.2,1027.3,6,1899.150878288612
2989.12983950686,10.1,-1.8,48.3,0.0,14.6,1024.9,6,1893.5528650639187
2978.1756682362934,9.8,-0.9,51.2,0.0,14.6,1023.4,5,1903.8806513822449
3025.771368960748,10.8,0.4,52.6,0.0,27.4,1020.1,6,1910.7175956313183
2996.954163436488,15.8,1.1,39.8,0.0,27.4,1010.1,6,1896.2496544297144
2995.255908360028,10.9,5.6,70.6,1.714,27.4,1003.7,3,1885.5854434595533
3000.566746118631,8.3,2.1,66.0,1.274,23.9,996.7,6,1903.706899130802
2994.5952153295607,7.5,3.5,76.1,0.0,35.1,1010.7,2,1888.2513577728505
2999.999473907892,9.6,3.7,68.3,0.0,20.6,1021.1,6,1898.0511631176023
2999.999473907892,11.7,2.7,56.3,0.0,33.5,1016.3,6,1898.0511631176023
3021.774769199392,10.3,4.4,66.5,3.002,36.8,1007.3,2,1894.382844101202
3015.4983947001783,11.6,-4.4,36.2,0.0,42.4,1006.8,7,1896.380391264125
2985.773721844673,9.0,-5.8,38.1,0.0,46.5,1010.0,6,1906.383434326826
2975.0484935467803,4.3,0.1,74.5,0.0,26.0,1013.7,4,1916.5303055143927
2988.995663658127,0.3,-2.1,84.5,1.521,33.3,1017.9,2,1907.6195335925568
3024.3903319127653,3.6,-4.9,57.1,0.0,20.6,1019.0,7,1911.407791837644
3000.0376899230573,8.1,-2.4,51.2,0.0,18.2,1016.3,7,1909.0611221381407
3000.028491087184,10.9,-4.2,41.9,0.0,38.4,1013.2,7,1894.6855263899736
3000.009413352379,8.5,-1.1,54.5,0.0,29.3,1017.1,7,1895.661232813859
2999.9995344534486,3.6,-2.6,64.6,0.0,36.9,1019.4,4,1911.012534985912
3010.303468181009,-1.3,-7.1,65.0,0.0,22.4,1029.5,7,1890.4920031141048
3000.043560992985,4.9,-5.3,53.9,0.0,27.7,1019.1,7,1897.300569267692
3000.0306990475897,11.8,-3.5,37.9,0.0,29.6,1015.0,7,1901.374471474444
3000.088517793649,15.2,-4.8,29.6,0.0,16.7,1016.4,7,1894.684270178501
3000.080477225988,17.4,-8.8,17.9,0.0,34.9,1010.4,7,1877.1431925563213
3000.000935795427,12.7,-1.2,40.8,0.0,31.5,1013.4,7,1887.0057248829664
3000.0001156239805,11.0,-2.4,42.5,0.0,14.4,1020.7,7,1903.6452313290952
3000.0888885450404,13.0,-4.8,36.2,0.0,40.6,1016.3,7,1905.2434217664943
3000.0523420603818,16.9,-8.5,18.7,0.0,18.4,1010.3,8,1897.5334226869595
3000.015795575723,20.1,-1.4,24.9,0.0,53.2,1005.7,7,1889.8234236074245
2992.5421076221205,16.4,-0.5,34.0,0.0,59.1,1001.1,7,1881.0389937849077
2990.046977923971,3.0,-10.1,41.9,0.0,26.0,1025.2,7,1882.8099089519196
3001.07108128398,3.8,-4.2,59.6,2.707,31.6,1021.5,3,1890.0808422128396
3000.004906253633,12.9,-1.0,47.6,0.0,25.6,1011.5,8,1879.3314467896064
3000.0221586636662,17.1,-6.7,23.6,0.0,44.2,1006.3,8,1892.7430011889303
3000.0394110737,19.4,-7.8,16.1,0.0,45.7,1001.7,7,1906.1545555882549
2978.1900664996424,13.3,-5.2,27.9,0.0,26.2,1007.3,8,1912.1586663710984
2978.061000987539,9.4,-2.1,46.4,0.0,22.5,1014.3,8,1908.5853479356592
2972.3544942426647,11.0,2.6,58.8,0.0,29.5,1011.4,6,1898.7251284232125
2987.876488723887,15.0,0.9,45.1,0.0,40.2,1003.8,8,1914.79288766902
2986.2398720879805,2.7,-1.3,75.2,0.0,36.9,1017.6,1,1882.254518342896
3000.00077845036,6.2,-4.8,48.2,0.0,20.7,1024.7,8,1923.043483021368
3000.0118612316155,11.9,-4.3,35.7,0.0,29.4,1019.8,8,1906.37076629422
3000.022944012871,15.5,-4.1,30.5,0.0,33.6,1014.2,8,1889.698049567072
3000.0024326594425,17.8,-4.4,23.9,0.0,38.2,1008.4,8,1891.163626321213
3000.00734184827,17.6,-4.0,24.1,0.0,40.1,1001.8,8,1883.6849641357976
3000.012251037097,12.1,3.5,57.8,0.0,36.7,1010.2,8,1876.206301950382
3029.8934673721024,8.8,3.0,67.4,0.781,39.0,1022.7,4,1909.246370635016
2970.897068937912,7.9,4.2,78.0,2.421,10.9,1019.5,2,1898.7979402441335
2998.7244117917867,12.2,-0.1,47.2,0.293,24.1,1018.9,8,1906.1464410923077
2999.9993317332537,10.6,-2.8,41.3,0.0,25.7,1024.0,8,1895.0788466001848
