aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.0695160956634,3.1,-2.2,69.9,0.0,24.1,1025.5,6,1962.1605324632808
3000.1359185221045,2.6,0.8,87.6,0.0,13.4,1021.3,1,1932.3760491484056
3000.0332270649565,5.6,2.7,83.3,0.0,16.1,1020.7,6,1960.8880637025447
3000.0332270649565,4.9,4.0,94.2,1.118,32.5,1015.1,1,1960.8880637025447
3027.4750290205866,5.3,0.2,72.2,0.0,33.7,1011.7,6,1929.035906837605
2985.581262278095,3.8,-0.8,73.9,0.0,28.6,1014.8,4,1913.656421217846
2977.2198393047606,6.9,-1.5,60.6,0.0,50.1,1011.8,6,1918.7699018157737
3020.7451255569945,7.5,-4.6,44.6,0.0,53.4,1004.9,5,1903.3859489995475
3000.47723600883,3.7,-11.8,33.3,0.0,30.9,1014.0,6,1900.7184120426905
3000.242954225775,8.5,-10.5,26.8,0.0,29.5,1007.6,6,1911.9831039128924
3000.014226303122,10.7,-8.4,28.7,0.0,50.6,1003.6,6,1910.9504889192767
3000.0197801635245,4.0,-12.7,33.1,0.0,46.2,1013.2,5,1898.6531820554603
2990.764915626153,3.0,-11.6,36.3,0.0,39.9,1014.6,6,1929.3867773053316
3017.135674701226,-10.3,-17.6,55.2,0.0,30.1,1020.0,5,1923.4100454472184
3000.048495740952,-9.1,-19.4,43.7,0.0,39.7,1021.8,6,1962.1520323952884
3000.024784183058,-7.6,-19.7,38.1,0.0,23.0,1027.6,6,1961.367185183256
3000.079093427192,1.5,-13.5,34.6,0.0,33.6,1016.5,6,1941.9203355060365
3000.872631525625,10.5,-5.5,33.9,0.0,34.0,1014.2,6,1911.111761799085
3000.762944809475,-1.5,-13.4,41.8,0.0,45.3,1030.5,6,1915.4956636134875
2999.93774079692,-2.4,-15.6,36.9,0.0,17.7,1028.9,6,1932.0261366696543
2973.5634369906497,2.3,-3.6,68.1,0.483,29.5,1020.6,3,1908.0100827177805
2986.348841841804,6.3,4.5,88.8,0.703,16.2,1014.7,4,1905.6295530603247
3006.3048322784,6.7,5.6,93.3,0.888,22.6,1014.2,3,1908.815544538716
3020.8709394366933,6.8,6.0,94.6,0.11,21.9,1016.7,2,1931.6718960794644
2995.377837071216,9.6,5.0,76.2,0.0,17.5,1016.7,6,1928.7278769063596
2991.801581486005,9.6,5.1,74.4,2.736,29.8,1016.6,4,1934.0893342526751
3000.003455692215,8.4,1.1,63.8,0.0,28.8,1026.8,6,1936.7775911536
3000.052007306244,8.9,-1.5,53.0,0.0,15.0,1028.9,6,1939.5360227428191
3000.8587313631297,10.2,-1.8,46.8,0.0,15.4,1026.1,7,1938.4974341454592
3001.3967827117763,10.9,-1.2,46.8,0.0,13.8,1023.9,7,1934.3935593838603
3001.176661617565,12.5,0.4,46.4,0.0,18.9,1022.5,5,1934.0867048088408
3016.14017185722,14.6,3.4,50.2,0.0,24.3,1015.3,7,1916.833383585337
2984.290779256428,15.5,6.1,58.6,0.13,30.0,1006.7,6,1935.750355274808
2985.312217250286,11.4,-3.0,39.5,0.0,45.1,1002.6,6,1933.8672683927523
2984.858289493057,11.5,-2.4,39.3,0.0,40.8,1010.4,7,1917.3598950889436
3000.1172005175267,9.0,2.3,64.4,0.0,19.1,1021.8,7,1914.4674890673573
3000.1172005175267,10.5,2.8,61.8,0.0,23.0,1019.3,5,1914.4674890673573
3027.889737273684,12.6,3.1,53.0,0.0,39.0,1011.3,3,1914.950194462958
3000.6681445808454,11.1,-2.9,39.4,0.0,29.4,1014.6,7,1918.3444367413472
2971.9398642036413,11.9,-3.5,38.1,0.0,29.9,1013.4,6,1933.5204275822484
3003.4868595238527,12.2,0.9,50.1,0.578,33.5,1010.0,7,1914.4630108174315
3003.4868595238527,4.0,2.2,87.9,2.953,31.7,1014.1,2,1914.4630108174315
3000.0036850646247,5.0,-1.9,64.5,0.0,19.2,1020.3,7,1938.6192315965752
3000.189912869408,8.8,-3.5,48.6,0.0,25.2,1018.8,7,1932.3554046860293
3000.803884686752,12.1,-0.8,45.2,0.0,25.0,1017.5,7,1929.753961505444
3001.231628699313,12.8,1.2,54.7,0.0,20.8,1019.1,7,1933.416345235404
3017.984010737964,10.0,2.7,62.0,0.0,33.1,1017.4,7,1917.009083327667
2974.4304606258997,0.2,-6.7,60.8,0.0,31.6,1026.6,7,1915.5754856560864
3008.3442535165286,2.9,-6.7,52.0,0.0,20.0,1022.1,7,1910.1954980079736
3000.8993774850665,12.0,-5.1,37.1,0.0,25.7,1018.1,8,1916.3691367772635
3002.0497233863216,16.0,-3.9,31.1,0.0,31.3,1020.6,8,1911.569493580524
3002.682790631551,18.3,1.9,38.0,0.0,39.9,1015.6,8,1911.0061971452528
3001.11134226748,15.3,-2.4,33.4,0.0,32.0,1014.7,8,1907.6358352430336
3000.0292907706694,12.9,-1.5,39.0,0.0,21.3,1021.0,8,1910.571416778456
3001.872155925833,15.3,0.1,37.9,0.0,30.7,1019.9,8,1911.093774362159
3002.1301465826805,18.4,-4.0,28.8,0.0,38.8,1015.9,8,1892.368855759408
3000.5173902956,20.6,-3.1,21.3,0.0,36.9,1013.4,7,1883.6638697720648
3008.906635450984,20.9,-2.0,23.0,0.0,41.3,1008.4,3,1936.242692429921
3026.4924607031758,6.7,-9.3,31.9,0.0,46.2,1024.1,6,1926.052149478695
3000.4283448932656,4.9,-0.1,71.5,4.006,20.4,1023.1,7,1906.985145983718
3000.5599760480964,12.3,1.3,54.3,0.0,29.4,1016.8,8,1908.4296301599293
3000.5599760480964,16.5,-0.2,38.2,0.0,34.9,1014.2,6,1908.4296301599293
2977.3520223178884,17.7,-3.5,31.3,0.0,36.3,1010.1,8,1909.829937231772
3020.695613008541,17.3,1.4,43.2,0.0,24.3,1010.5,7,1929.4060080816464
2981.440768890992,15.3,-1.6,35.0,0.0,29.1,1012.8,8,1924.0834423694037
2999.693052724437,16.4,2.3,45.1,0.0,27.3,1012.0,8,1926.6973481701864
3013.635540701394,17.4,9.4,60.0,0.0,21.5,1006.8,6,1901.5028997225809
2973.295240767954,9.4,1.8,60.9,0.0,32.6,1013.8,3,1924.890759270899
3000.077254293567,6.7,-3.0,52.0,0.0,30.9,1024.2,8,1924.038775490733
3000.077254293567,9.5,-2.8,45.4,0.0,18.2,1023.4,8,1924.038775490733
2996.859589303406,13.7,-1.3,40.5,0.0,25.1,1019.8,8,1911.7370992038968
2998.3638451477746,18.0,4.3,47.0,0.0,27.4,1014.2,8,1900.2976008719963
3001.7777858880795,19.2,-1.0,39.4,0.0,37.1,1008.3,8,1921.450610775919
3001.0438354780727,18.6,-3.5,23.8,0.0,23.9,1009.5,8,1910.417869835462
3000.3098850680653,10.4,5.5,73.7,2.298,52.6,1018.6,4,1899.3851288950048
2977.045380410078,9.7,8.7,94.0,1.974,23.7,1017.5,2,1901.5124274393968
3020.1751394957905,9.9,8.9,93.1,0.967,18.7,1018.1,1,1922.0431443072043
3004.122008262349,11.1,2.1,57.7,0.0,16.6,1024.6,8,1924.6145213600755
3025.221967680551,12.5,2.9,54.3,0.0,25.4,1020.8,8,1908.6251717857504
3004.3192876665385,15.2,5.3,54.5,0.0,22.5,1015.5,8,1920.3369991780532
3030.1408827646446,15.5,8.4,67.2,1.23,18.4,1013.1,6,1911.6048959
2980.3128513005245,16.3,5.6,57.1,0.0,26.5,1014.6,9,1926.8555333702852
2986.4024116177607,15.1,5.9,57.2,0.0,33.3,1016.9,7,1922.8853442396903
3003.1162733015267,18.2,4.2,44.2,0.078,55.5,1000.9,8,1934.9005186835252
2999.3231699310804,13.0,-4.3,30.1,0.0,40.2,1002.4,9,1922.8579664978347
3000.040038992595,8.1,-3.8,45.6,0.0,16.8,1012.6,10,1934.855375646217
3000.040038992595,12.4,-3.6,37.4,0.0,32.8,1016.7,9,1934.855375646217
3000.20097932105,14.6,-3.0,40.1,0.0,31.9,1019.9,9,1924.2528866136688
3000.20097932105,20.0,3.7,36.2,0.0,35.0,1012.1,6,1924.2528866136688
3020.907859354464,20.7,7.2,48.4,0.0,25.4,1011.9,7,1906.09248600537
2997.42448001572,22.3,11.1,56.2,0.0,30.3,1008.4,7,1934.575896252532
2997.284760112402,21.1,9.6,52.4,0.0,58.7,1006.2,7,1932.023741959175
