aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.17216086853,5.1,-2.2,61.6,0.0,14.4,1023.8,6,1923.2795008543424
3000.3336736253063,6.5,1.3,69.3,0.0,24.5,1019.1,5,1902.9328281210671
3005.1018561333885,5.6,-1.8,63.1,0.0,18.0,1019.6,6,1903.9570180946405
2982.0990185234477,6.6,1.8,73.0,0.2,41.0,1011.7,3,1899.2329568875195
3000.0014352411035,7.8,-3.6,46.6,0.0,31.4,1010.8,6,1917.204824955132
3000.2737360430065,5.5,-3.9,54.1,0.0,41.0,1013.8,6,1916.9407677122351
3000.355421641128,7.0,-5.7,49.8,0.0,50.2,1008.9,6,1897.0254315915188
3003.095458237276,7.1,-6.7,39.1,0.0,58.6,1005.1,6,1886.0858149324188
3003.4217921090094,4.1,-11.8,37.2,0.0,22.9,1014.4,7,1898.4763776946857
3000.4217165253167,9.7,-12.6,20.8,0.0,42.5,1006.9,7,1897.991646981748
3000.0165107747457,10.6,-9.5,26.0,0.0,54.6,1002.4,6,1890.740625410744
3000.007062679671,7.5,-14.4,21.5,0.0,47.1,1012.5,6,1887.6532350962248
3010.5012775333785,9.7,-12.6,21.8,0.0,40.4,1011.6,7,1908.256384402166
2998.969263292013,-4.1,-13.5,48.6,0.0,25.2,1017.5,6,1934.811960378984
2999.509085047811,-5.1,-16.6,41.2,0.0,44.0,1021.1,7,1950.9506790978296
3000.0334603520605,-5.8,-19.3,34.5,0.0,28.7,1028.3,7,1955.833685804123
3000.159049218761,1.7,-14.9,30.4,0.0,20.1,1016.8,7,1933.6981150538847
3000.8326288215944,14.3,-5.3,26.5,0.0,27.7,1012.4,7,1921.1594116025017
3000.877371064301,1.8,-10.4,41.1,0.0,40.3,1028.4,7,1927.0364547699664
3000.3895690224235,-0.2,-13.6,36.6,0.0,25.5,1027.5,6,1934.5723426511304
3010.549994751958,3.2,-6.6,50.3,0.0,26.2,1018.2,6,1919.5763402228577
3000.6380566581333,8.5,1.9,68.7,0.919,18.4,1012.7,7,1915.904492771284
3000.6380566581333,12.1,5.0,64.2,0.291,35.3,1010.9,5,1915.904492771284
2986.7623982463906,10.3,6.4,74.6,0.0,25.9,1014.3,5,1900.3522918948927
3000.163676283781,10.1,3.3,66.6,0.0,33.5,1014.5,6,1928.5601642987376
3000.163676283781,11.2,4.0,63.3,0.0,38.9,1014.5,7,1928.5601642987376
3000.011091235044,10.0,0.6,55.7,0.0,22.3,1025.9,7,1915.7648978957063
3000.864380177296,8.9,-1.5,53.9,0.0,16.6,1027.3,7,1922.3913142523063
3001.331371180281,10.7,-1.3,46.8,0.0,18.4,1023.6,7,1932.977097295699
3004.022795980427,11.9,0.0,47.7,0.0,16.6,1021.4,7,1922.7212826798243
3007.10051871984,12.8,2.3,50.3,0.0,27.7,1019.5,6,1908.5061013771583
3003.69551148116,13.8,4.0,61.9,0.0,20.5,1012.6,7,1916.4459486991525
3011.828321623411,14.5,4.5,55.8,0.0,53.7,1004.1,6,1898.775037112512
2973.3160884482363,11.8,-2.1,40.5,0.0,53.6,1001.9,7,1894.128304578992
3006.014881017359,11.9,-8.3,26.7,0.0,50.0,1010.6,7,1903.964714357272
3003.040908770491,8.7,0.3,57.4,0.0,20.5,1020.8,7,1909.297480563088
3000.066936523624,11.3,2.1,55.1,0.0,37.1,1015.4,5,1914.630246768904
3007.6400433895897,13.7,1.9,46.5,0.0,44.6,1007.6,4,1901.4640611560455
3024.870798243916,11.9,-2.5,38.0,0.0,38.9,1012.3,7,1893.798584862299
2986.654297023398,10.4,-3.1,42.7,0.0,25.9,1011.9,2,1896.3846686144375
3000.102802009341,12.5,-3.7,34.0,0.0,25.9,1006.7,7,1917.9268726543949
3000.102802009341,6.2,-0.9,54.7,0.0,42.5,1013.3,2,1917.9268726543949
3000.0444480943474,6.2,-4.7,64.8,0.0,20.5,1019.9,8,1916.5003754742672
3000.0444480943474,8.7,-7.5,38.8,0.0,20.0,1016.6,8,1916.5003754742672
3000.924856006769,12.8,-6.8,32.8,0.0,38.2,1015.0,8,1943.077286513998
3000.924856006769,13.1,-9.1,22.5,0.0,20.4,1016.7,7,1943.077286513998
2997.48314626265,12.9,-3.0,36.2,0.0,33.3,1014.3,8,1895.0603087516035
2979.1472081617053,2.8,-5.0,57.7,0.0,24.1,1025.1,3,1913.5475954180065
3000.0223269766,4.1,-6.9,46.6,0.0,20.5,1021.4,8,1926.2850873378568
3000.485439513832,11.9,-5.7,35.4,0.0,20.2,1017.0,8,1922.2861333937444
3002.661006317276,16.0,-8.7,22.8,0.0,28.6,1018.2,8,1899.7525245727925
3004.5091310737484,16.9,-10.8,18.3,0.0,42.1,1012.9,8,1891.85402908012
3002.3536550309364,17.0,-8.0,18.0,0.0,30.7,1012.3,8,1893.4824982473683
3000.062508497864,12.5,-3.0,35.2,0.0,16.4,1018.5,9,1884.474808030449
3000.643407689435,14.0,-2.6,34.7,0.0,19.7,1017.2,8,1924.3622186668404
3000.643407689435,18.2,-4.6,25.9,0.0,37.1,1013.9,8,1924.3622186668404
3027.0189748244843,22.0,-2.7,20.4,0.0,41.1,1010.4,6,1911.187768869699
3031.435862273387,21.1,-2.1,22.1,0.0,44.4,1005.4,3,1918.277188188835
3002.717990959737,10.1,-5.7,33.8,0.486,41.7,1020.8,6,1898.367501344432
3011.498994344965,6.5,2.8,79.6,1.306,24.1,1021.3,7,1903.923062647992
3000.4607717638028,13.6,2.6,58.1,0.0,32.8,1015.4,9,1912.8989395025685
3006.242278056113,17.4,-2.3,32.3,0.0,32.9,1011.6,8,1901.2327092500504
3012.023784348423,18.4,-8.0,18.3,0.0,47.3,1007.2,9,1889.566478997532
3028.768789837064,19.1,-5.6,18.8,0.0,36.5,1007.4,9,1916.5775870598504
2981.5994925369864,17.0,-4.6,25.4,0.0,22.8,1010.1,9,1914.3371036699373
2992.753968383798,16.6,-2.1,33.5,0.0,19.4,1008.6,9,1894.6255439890065
3020.378287696029,18.7,-1.8,27.8,0.0,27.7,1003.2,7,1893.531666711756
3030.46781580052,12.5,-2.1,38.2,0.016,38.6,1011.3,8,1902.43465535498
3030.5122017892786,7.1,-2.5,51.9,0.0,17.6,1023.4,7,1919.3742723239309
3004.1582317886514,9.8,-2.6,44.1,0.0,25.3,1021.4,9,1967.1478459176355
3004.1582317886514,14.2,-0.3,42.3,0.0,26.9,1016.6,9,1967.1478459176355
3003.701562134257,18.5,-2.1,36.0,0.0,29.4,1010.8,9,1890.129483075794
3003.701562134257,18.9,-10.4,14.3,0.0,39.1,1005.2,9,1890.129483075794
3000.122704313065,18.3,-4.6,22.7,0.0,23.4,1005.7,9,1898.9856195289424
3000.122704313065,11.6,5.0,68.7,0.882,40.6,1015.7,1,1898.9856195289424
3026.726431891777,11.3,8.8,85.2,0.553,14.5,1015.3,2,1905.0516542131404
3031.0205438819025,12.4,8.4,77.5,0.0,27.6,1015.3,6,1898.8016932685284
3008.137463818699,13.2,3.2,53.6,0.0,32.4,1021.6,9,1898.2295586596797
2976.6249903706494,14.9,4.4,50.7,0.0,28.7,1017.3,9,1901.6062974664023
3024.6013265807096,15.6,5.1,51.9,0.0,25.4,1012.1,7,1913.3275668462395
2987.0677870418963,17.1,3.0,44.5,0.0,32.5,1010.1,9,1919.660666285744
3003.4437609016063,18.5,-1.3,32.0,0.0,25.4,1011.7,9,1904.722762091624
3008.136588470483,18.3,5.0,45.1,0.0,44.3,1011.2,6,1910.835143058307
2980.328416262692,18.7,1.0,36.0,0.0,62.6,997.1,8,1890.6592966691155
2992.944145593131,14.5,-4.6,27.7,0.0,54.1,999.6,10,1905.9319051874763
2987.1065283449648,11.1,-4.3,36.5,0.0,41.0,1009.6,9,1903.1820754416888
2987.742805676625,13.9,-5.8,30.4,0.0,38.8,1014.8,9,1920.8963219548464
3000.8872498550445,15.3,-8.0,25.0,0.0,28.3,1016.5,9,1917.3698998216648
3000.8872498550445,21.1,-1.5,28.8,0.0,34.9,1007.6,7,1917.3698998216648
3006.491402993466,20.5,0.1,35.9,0.0,20.1,1008.2,8,1902.1688214679664
3016.3766100921293,22.8,6.2,42.2,0.0,34.3,1003.5,4,1905.3312133486309
2997.54870068764,20.2,-0.8,24.8,0.0,64.9,1003.1,7,1910.8696496604991
3010.2795065453506,14.3,-2.0,33.7,0.0,45.2,1014.5,8,1912.76009568094
3000.480566783253,15.5,-4.8,30.4,0.0,19.8,1016.3,10,1920.36527814231
3000.663772287353,18.9,-8.3,17.8,0.0,20.4,1011.8,10,1919.80354370828
