aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.0824976803688,4.1,-1.9,67.6,0.0,14.3,1024.9,6,1929.7086973026803
3000.1620653908826,4.0,1.5,84.3,0.0,15.7,1020.5,2,1935.9378380846576
3020.2768989194483,4.1,2.5,89.8,0.0,15.6,1020.6,4,1922.9695775117525
2973.1906892621414,4.7,3.5,92.0,0.03,34.3,1013.8,1,1900.8638394329485
2991.253422011555,6.3,-1.6,60.0,0.0,33.9,1011.6,6,1901.7586220222145
2988.3659901814844,4.4,-1.8,67.6,0.0,37.8,1014.5,6,1903.2273515789384
3000.8488842019224,7.0,-1.7,58.7,0.0,46.8,1010.9,6,1904.755365220795
3001.8485230953115,7.1,-5.2,44.2,0.0,55.7,1005.0,5,1890.4589299182453
3002.121192113622,4.1,-10.9,37.6,0.0,28.3,1014.5,6,1888.3496819654288
3000.7042174685484,10.0,-12.2,20.4,0.0,35.3,1007.6,6,1903.4380965982048
3000.008543883929,12.2,-9.3,22.8,0.0,50.2,1003.2,6,1909.8726633260128
3000.0028750693045,5.6,-13.3,28.0,0.0,44.7,1013.0,6,1913.4060027707744
3002.809466926161,6.6,-12.0,28.3,0.0,29.6,1013.6,7,1929.8487115251576
2997.5994900052337,-8.5,-15.1,59.0,0.0,27.1,1019.1,6,1954.3371495168728
2998.8106804289782,-8.1,-18.9,42.3,0.0,43.6,1021.6,6,1985.74501788
3000.017349674107,-7.0,-19.6,36.5,0.0,31.7,1027.9,6,1977.410416786568
3000.1544440061243,2.3,-13.4,32.2,0.0,26.6,1016.7,6,1920.2234028345983
3000.2239179837607,12.2,-5.2,30.7,0.0,27.2,1013.9,6,1911.4887194350529
3000.009936784976,-0.2,-11.8,42.6,0.0,40.2,1029.5,6,1921.3671755392952
2999.8680971191857,-1.9,-14.3,39.0,0.0,22.3,1028.4,6,1922.5357705476729
2986.5233083569046,2.5,-3.3,68.3,0.098,29.2,1019.6,3,1919.612653820401
2971.9044793009807,7.0,3.8,81.8,0.098,18.1,1014.0,6,1898.9486336568807
2990.406699937871,9.4,6.5,83.9,1.007,25.4,1012.9,5,1901.1868767352069
2983.6487673949464,8.8,6.8,88.6,0.622,17.0,1015.6,6,1900.4842456958668
3018.0602041129023,9.8,3.9,71.3,0.0,25.9,1015.9,6,1932.22925724198
2974.1160506411115,9.8,4.3,70.5,1.376,30.8,1015.9,6,1907.0077234249911
3000.000764180301,8.6,1.2,63.5,0.0,24.1,1026.7,6,1938.4728905361608
3000.0860790373617,9.2,-1.0,54.4,0.0,15.1,1028.5,6,1922.5187178777885
3000.641835793472,10.6,-1.3,47.5,0.0,12.4,1025.4,7,1920.719418184497
3001.3539355679804,10.6,-0.5,50.5,0.0,10.3,1023.3,6,1935.6127083411343
3001.59559344344,12.1,0.7,48.0,0.0,22.6,1021.7,5,1936.351125532691
3025.4938868420786,15.2,3.9,50.2,0.0,23.5,1014.5,7,1925.8790768072745
3020.374434799938,15.2,5.0,56.1,0.0,48.2,1005.7,6,1912.0296509237105
3007.087118560381,11.6,-2.6,39.4,0.0,47.0,1002.4,7,1895.1853307344288
3000.0935121978623,11.5,-5.2,31.9,0.0,38.4,1010.6,7,1916.8038671934464
3000.067938367838,8.5,2.0,65.6,0.0,17.5,1021.6,7,1913.976000306055
3000.042364537813,10.7,2.7,60.0,0.0,28.1,1018.3,7,1911.1481334186635
3008.0688202526203,12.7,2.9,51.9,0.0,32.3,1009.9,5,1930.14355168788
2995.817350572277,11.0,-2.5,40.4,0.0,30.4,1014.1,5,1924.6057829404267
3021.277053947682,12.0,-3.1,40.3,0.0,24.5,1012.8,5,1931.4387733031576
3000.174535416321,13.4,-1.0,41.4,0.05,29.5,1008.5,8,1912.7483705735733
3000.174535416321,5.0,1.7,80.1,0.756,31.6,1013.5,5,1912.7483705735733
3000.009318857081,5.9,-2.8,58.7,0.0,23.6,1020.1,7,1941.5129999116464
3000.009318857081,9.6,-4.2,45.0,0.0,22.9,1017.9,7,1941.5129999116464
3000.562493825516,13.1,-3.3,37.8,0.0,25.2,1016.6,7,1919.0482863106963
3000.562493825516,13.8,-0.7,45.8,0.0,22.3,1018.4,6,1919.0482863106963
3006.125152982077,11.4,1.8,53.8,0.0,30.3,1016.3,6,1907.8092264087556
3030.4569487502263,0.9,-6.1,61.0,0.0,32.3,1025.9,7,1931.1532910601895
2999.9819704208257,3.8,-6.3,49.4,0.0,21.9,1022.0,7,1920.8428112258416
3000.344915938918,13.3,-4.7,34.2,0.0,25.2,1017.7,8,1910.284038843123
3000.70786145701,18.0,-4.4,27.3,0.0,30.6,1019.8,8,1899.725266460404
3013.9471791045767,19.5,1.4,34.5,0.0,31.0,1014.6,8,1915.910795532338
3000.2808913617982,16.4,-6.8,20.6,0.0,31.6,1014.0,8,1908.744173365263
3000.2808913617982,12.3,-1.5,40.6,0.0,14.1,1020.2,7,1908.744173365263
3000.975253168816,15.2,0.3,38.8,0.0,31.1,1019.0,8,1920.922543416432
3000.975253168816,19.0,-3.6,26.9,0.0,25.2,1015.4,8,1920.922543416432
3019.028381827657,22.2,-2.4,20.0,0.0,30.7,1012.7,6,1916.0843364322884
3003.584729676676,21.5,-2.0,21.5,0.0,47.5,1007.6,4,1897.8060464672185
2981.632155384476,8.1,-7.9,32.1,0.0,36.8,1022.6,4,1921.3420881982208
2983.989905138618,5.7,1.3,75.6,6.587,27.3,1022.3,8,1904.3051204010087
3000.1145653049307,13.6,2.0,52.6,0.0,25.2,1016.6,8,1911.9587719324336
3000.1145653049307,17.9,-1.0,30.8,0.0,30.4,1013.5,8,1911.9587719324336
3022.0670376545954,18.2,-6.0,23.0,0.0,44.1,1009.2,6,1923.5095791075728
3003.559248115186,18.1,-1.5,33.7,0.0,30.0,1009.7,8,1915.727750460908
3030.737393081743,17.5,-3.9,25.3,0.0,16.5,1011.8,9,1909.6010876718549
3021.8017396215305,16.8,0.5,42.6,0.0,20.3,1010.4,8,1894.2700512188967
3003.632166903777,18.7,3.7,42.0,0.0,26.4,1005.6,7,1910.838573381361
2998.956056445923,10.7,0.0,51.2,0.0,34.7,1012.9,8,1924.7946686099356
2978.129603461631,6.7,-2.2,54.5,0.0,28.0,1023.9,8,1924.933535014881
2988.2709517745466,9.9,-2.0,46.4,0.0,20.8,1022.7,8,1896.373615068236
3011.766372209333,14.3,-0.5,40.6,0.0,22.5,1018.7,8,1894.6483889856595
3015.251222834609,18.6,2.2,43.2,0.0,25.4,1013.2,8,1895.7910956741237
3001.889552314557,19.9,-1.6,34.7,0.0,40.7,1007.4,8,1890.535932713989
3001.054429256761,18.3,-3.3,24.7,0.0,24.1,1008.2,9,1890.8526006174309
3000.219306198966,10.3,5.4,75.7,10.089,41.1,1017.5,3,1891.1692685208727
3002.969475065533,9.8,8.9,94.3,1.667,20.5,1016.8,2,1894.8794567518808
2990.360885071641,10.0,9.2,95.1,0.79,23.1,1017.3,2,1916.2447300937076
2979.7778590260705,11.5,3.2,60.3,0.0,19.6,1023.7,8,1928.745322153768
2973.5234525198434,12.9,4.0,56.3,0.0,24.8,1019.9,8,1915.221289162144
2995.755725310864,14.8,5.8,57.5,0.228,24.4,1014.4,8,1897.4246594395956
2986.373298973409,15.5,8.4,67.2,1.252,27.0,1012.0,9,1903.8024296046583
3000.1262237114493,16.6,3.3,48.3,0.0,21.8,1013.5,9,1921.5793922885723
3000.1262237114493,16.2,5.4,53.3,0.0,38.3,1015.0,7,1921.5793922885723
3013.646592687006,18.1,3.2,43.1,0.0,56.2,999.7,8,1919.8908739569329
3015.2386809837644,13.2,-4.0,31.0,0.03,40.4,1001.4,9,1903.594581185872
2973.4795105507224,9.1,-3.9,42.8,0.0,28.9,1011.5,9,1923.57872346003
3005.9575999479625,13.0,-5.2,32.1,0.0,31.6,1016.1,9,1903.7539628884604
3001.083402900545,14.9,-3.4,38.6,0.0,30.0,1018.8,9,1912.13410700442
3001.083402900545,20.1,3.1,36.3,0.0,29.4,1010.6,5,1912.13410700442
2991.218661040617,21.6,4.2,41.0,0.0,23.5,1010.6,8,1924.4140139386388
3030.262706616425,21.6,10.8,56.5,0.0,27.0,1006.8,5,1918.096122325726
2973.2214510696585,20.4,7.2,46.5,0.0,60.8,1005.1,6,1910.3363989632028
3000.004802791657,13.4,-2.6,35.6,0.0,35.9,1015.6,9,1915.6852317393848
3000.046511327969,15.4,-4.4,29.2,0.0,21.3,1017.5,9,1919.690651553581
3000.197493304073,19.6,-6.3,20.0,0.0,19.1,1014.2,9,1919.3436567405788
3000.3067667438645,21.4,-5.6,17.0,0.0,45.4,1011.5,9,1914.99124211338
3003.135160377809,21.1,0.9,31.7,0.0,50.3,1007.7,9,1901.7094500736407
3002.198502059437,16.1,-14.5,12.7,0.0,28.5,1013.0,10,1898.1711729877688
3001.261843741066,18.6,0.7,31.1,0.0,27.6,1008.5,7,1894.6328959018963
2993.827679464331,12.1,5.6,65.2,0.0,36.4,1009.0,5,1911.544494992177
3002.2577648566435,13.4,2.3,53.1,0.0,36.5,1014.9,9,1906.8026892174344
3002.2577648566435,16.6,-1.9,32.8,0.0,17.0,1019.0,9,1906.8026892174344
3030.611447851182,20.3,-2.9,22.5,0.0,39.2,1018.9,9,1920.1244395912229
3000.1609280419125,23.2,0.7,25.0,0.0,26.7,1016.3,9,1897.34112330698
3000.549709602117,25.5,4.8,33.3,0.0,22.7,1012.9,10,1902.0089451978124
3000.9384911623224,26.2,8.8,40.6,0.0,30.8,1006.6,6,1906.6767670886447
2978.3911763669007,22.5,-10.1,12.8,0.0,23.7,1010.3,10,1908.1137377724324
3027.1092009820304,23.4,-9.4,11.7,0.0,25.5,1012.0,9,1914.3417928533197
3000.014639093554,23.2,7.2,43.9,0.0,30.8,1013.1,10,1918.932439499176
3000.014639093554,14.3,5.6,56.1,0.0,35.3,1018.6,5,1918.932439499176
3017.649999232218,10.5,7.9,85.4,22.843,32.3,1020.2,3,1925.3918873074035
2981.3047617844527,10.2,5.6,75.0,0.0,24.9,1026.2,6,1927.7618327160487
3000.7996885457173,16.5,7.8,58.1,0.0,29.3,1019.6,9,1909.0996249422008
3000.502268367687,22.0,10.1,52.4,0.164,27.6,1012.7,9,1912.8687426245751
3000.204848189657,23.6,14.8,61.0,0.0,27.5,1013.9,9,1916.637860306949
2994.1199884446714,24.5,16.1,61.0,0.0,39.5,1008.6,9,1904.9168592137416
3008.005303260875,23.6,-0.2,28.0,0.0,41.4,1006.0,10,1899.5549777892047
3008.005303260875,24.0,1.6,29.4,0.0,42.7,1004.1,9,1899.5549777892047
3000.038389644493,20.5,-2.1,23.4,0.0,20.7,1009.7,10,1925.9310488253595
3000.0648261401257,22.5,-2.5,21.6,0.0,17.6,1011.0,10,1921.893401991638
3000.6368551835767,25.3,10.4,42.6,0.0,35.1,1009.0,10,1907.7770859175653
3001.182447731396,24.9,17.3,63.8,0.0,38.1,1006.3,9,1897.698416677214
3000.870468142338,25.8,7.0,44.2,0.0,28.9,1006.3,10,1921.307441411633
3000.870468142338,24.5,13.5,55.5,0.0,39.3,1008.4,9,1921.307441411633
3020.3929767902887,20.4,16.0,76.2,3.006,41.7,1010.6,4,1907.4072753416085
3026.130874259037,19.0,15.5,81.2,0.0,27.4,1012.1,6,1896.1044293645723
3001.012513895921,25.8,7.3,46.0,0.0,39.0,1005.9,10,1899.9395684240744
3001.175570922798,24.9,-5.1,15.0,0.0,38.1,1006.0,10,1903.123858981612
3000.852245949637,27.0,-4.7,13.3,0.0,34.7,1003.1,10,1907.2225602107387
3000.3389764423014,24.7,0.8,23.6,0.0,33.8,1007.7,10,1910.144007973418
3000.3120889350034,20.0,8.0,47.1,0.0,28.9,1016.4,6,1912.151045064508
2996.177800841182,18.1,11.0,65.7,7.913,29.3,1014.3,3,1895.6018725768597
2993.813820869065,22.1,11.0,61.7,0.164,26.0,1008.0,9,1911.4331567035824
2988.265096725284,22.5,8.5,51.1,0.0,24.6,1009.5,10,1904.0539451116008
2972.781965779596,25.4,6.3,34.2,0.0,25.5,1009.7,10,1894.8183747584544
3000.6337919669163,27.0,9.0,34.1,0.0,37.8,1006.1,8,1911.6254901315776
3000.6337919669163,20.9,12.6,60.8,20.745,56.6,1006.7,8,1911.6254901315776
2986.824767506253,19.7,11.0,62.9,0.0,16.3,1010.4,10,1903.3750753745496
3000.495103431233,26.9,6.1,34.1,0.0,18.3,1010.0,10,1942.4851594413865
3001.22637693456,29.9,7.7,28.1,0.0,35.2,1009.4,10,1925.0315516952533
3001.957650437886,30.1,5.1,25.6,0.0,22.8,1007.6,10,1907.57794394912
3026.5949302465733,28.6,6.3,29.5,0.0,27.5,1007.8,9,1895.8066489538487
3006.3361971850445,27.0,11.7,42.1,0.0,24.8,1008.8,9,1893.3772182930825
3005.1771042850705,27.8,4.2,42.0,0.0,27.2,1007.6,10,1900.2545492711663
3002.379469686006,27.1,-3.8,14.8,0.0,23.5,1008.0,10,1911.9652147585343
3000.2747773244555,28.3,2.2,27.6,0.0,30.8,1006.9,10,1908.726045567608
2999.908139602112,29.6,-7.1,9.0,0.0,29.3,1008.2,10,1904.2462315905511
3001.039748210894,28.2,-4.9,13.7,0.0,29.0,1012.1,10,1903.6633112340896
3002.07184387956,28.4,12.4,39.1,0.0,42.9,1012.7,9,1899.4877011544745
3013.4613767400406,24.7,15.4,57.8,0.0,32.6,1016.5,10,1911.54031399365
3012.527482350208,26.1,18.4,63.6,17.543,41.3,1011.0,10,1905.6845429748405
3010.3203362057934,24.4,16.7,64.2,0.0,29.5,1011.9,9,1917.5737954322908
3000.3890878664392,24.8,16.0,59.3,0.0,43.1,1013.6,10,1909.6788015328243
3003.062412080563,27.7,18.3,58.0,0.0,30.5,1009.7,10,1896.155164813416
3005.7357362946864,30.5,6.9,38.6,0.0,30.4,1005.7,9,1882.631528094007
2979.924094858866,31.4,1.8,22.6,0.0,26.1,1004.5,10,1919.4790421495368
3003.4027136310165,29.9,14.9,44.3,0.0,30.6,1008.4,10,1885.007041779868
3001.8641996438582,30.8,16.5,46.6,0.0,27.7,1011.1,10,1900.5105054378728
3001.811268448057,31.6,14.9,40.0,0.0,33.2,1012.3,10,1909.48580474846
3003.296851239415,30.6,13.4,36.7,0.0,36.7,1009.9,9,1902.9576404010425
2977.212612699509,28.8,16.3,48.9,4.511,31.3,1010.0,9,1918.209330840248
2988.482668187637,23.5,17.7,71.8,1.773,23.5,1013.7,10,1911.28648543678
3012.056532520716,26.1,17.7,62.9,1.061,24.7,1012.9,9,1930.3640370041333
3000.0932100047253,27.5,16.2,54.2,0.0,22.7,1014.9,10,1927.8816087743955
3000.4115195859413,30.1,17.1,49.9,0.0,22.9,1013.7,10,1926.6268611415464
3000.7298291671577,30.2,15.7,43.7,0.0,28.8,1013.4,10,1925.372113508697
3001.727239139604,30.0,15.8,43.8,0.0,37.3,1011.1,10,1898.6218147024133
3001.246146466944,30.7,15.5,42.0,0.0,39.5,1007.6,10,1899.4652798130187
3000.6780815332645,30.6,16.4,44.7,0.0,47.6,1005.1,10,1894.9327248830173
3007.140572240851,29.9,18.3,51.6,0.0,50.0,1005.9,9,1884.3287421326963
3013.6900352094567,26.9,17.5,57.2,0.0,38.7,1014.0,8,1879.100779422982
3017.5518247206933,23.3,17.9,71.4,0.196,35.4,1020.8,4,1915.7780106773985
3011.521317778115,26.6,17.9,62.9,0.764,27.0,1019.9,9,1919.5051447956955
3000.0849096833103,27.8,16.3,53.3,0.0,27.9,1017.5,10,1902.344817961117
3000.05437068088,29.4,12.0,38.6,0.0,21.6,1015.3,10,1902.1752475788176
3000.8983011952905,30.3,15.2,42.0,0.0,26.5,1013.2,10,1912.7975300100309
3003.884670607475,31.3,17.8,47.1,0.0,33.1,1011.6,10,1909.2047592474
3005.996570502819,32.6,17.4,43.0,0.0,29.0,1011.4,10,1894.8201356712552
2974.440479430096,31.8,17.0,43.3,0.0,27.2,1011.2,10,1896.7908256201376
3000.1237005631924,32.3,14.8,37.8,0.0,31.9,1007.7,10,1899.6056617244697
3000.19442742414,31.5,17.1,44.0,0.0,33.0,1012.3,10,1910.562486784968
3000.265154285088,30.8,16.2,44.3,0.0,33.2,1018.5,10,1921.5193118454656
2999.074522231141,30.5,16.5,45.3,0.0,35.2,1016.4,10,1931.9236025495877
2980.642347661364,32.0,14.3,36.7,0.0,32.5,1012.1,10,1898.559332581077
3000.062777791021,31.7,14.6,37.3,0.0,31.2,1012.2,10,1897.2052915188528
3000.4110829640786,30.5,16.7,46.5,2.805,53.1,1012.7,10,1901.4271447922824
3000.7593881371367,26.0,18.0,61.7,1.013,33.8,1015.6,9,1905.648998065712
3029.9795431951097,26.2,16.4,57.0,0.0,41.0,1016.4,9,1909.3178607291272
3000.214475368003,29.4,15.2,46.8,0.0,41.0,1011.4,10,1900.898407659921
