aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.0238955408645,4.6,-3.3,58.8,0.0,13.0,1025.2,7,1943.410061535112
2999.9692717012654,6.0,-0.1,65.9,0.0,18.3,1020.6,6,1950.9395578630235
2999.8954873809785,5.0,-2.7,60.1,0.0,16.6,1020.8,7,1951.787096081877
3014.083188851134,6.7,-0.1,64.7,0.008,36.9,1012.9,6,1895.1195054181885
3000.002880011757,8.6,-4.6,40.2,0.0,44.5,1012.8,7,1921.1993113237288
3000.002880011757,7.2,-5.5,42.2,0.0,33.4,1015.4,7,1921.1993113237288
3003.143504130984,6.2,-8.5,43.6,0.0,48.2,1009.8,7,1878.4030729646613
3003.146278246178,7.1,-9.6,30.9,0.0,64.7,1008.1,6,1888.1767013494728
3002.3732156738943,4.9,-13.8,29.2,0.0,36.9,1015.8,7,1887.293703757908
3000.820932201512,11.4,-14.0,16.0,0.0,35.3,1009.2,7,1888.272764926507
3000.044485416608,9.7,-10.4,27.2,0.0,68.2,1005.1,7,1899.9084520714823
3026.5794585408307,8.4,-12.6,24.8,0.0,57.5,1014.9,7,1914.046338625883
2993.3599343965184,12.3,-13.9,15.9,0.0,42.4,1013.4,7,1912.51131118126
3000.286974605236,-2.6,-12.5,47.6,0.0,24.1,1017.6,7,1936.8933993541616
3000.191214775396,-3.6,-14.7,43.8,0.0,33.6,1020.1,7,1940.5103730449205
3000.0565540553407,-5.7,-19.5,33.6,0.0,14.9,1027.4,7,1956.2282705182488
2999.884205119074,3.0,-15.4,27.0,0.0,13.0,1016.7,7,1956.704961388121
2999.8812732775505,17.0,-5.1,22.2,0.0,44.4,1014.9,7,1928.1366776491104
2999.9765727760323,2.1,-9.6,42.2,0.0,33.5,1029.6,6,1932.8752361789043
2999.9413560699863,-0.2,-13.6,36.3,0.0,18.4,1027.3,6,1954.5578455350128
3015.145046450636,3.4,-8.5,42.3,0.0,18.4,1018.7,6,1922.9762301629855
3027.2880338851915,8.4,0.7,63.9,0.01,15.6,1013.1,7,1919.2579959222223
3007.3739052125607,12.6,4.7,60.7,3.371,30.2,1010.5,6,1911.2107753238383
2981.563728938289,11.1,6.1,73.0,0.3,23.8,1013.4,7,1929.7758764805983
3000.3984027503107,11.0,2.8,60.3,0.0,28.0,1014.4,7,1911.056541923368
3000.3984027503107,11.3,3.1,59.0,0.0,30.2,1014.4,8,1911.056541923368
2975.064359823834,9.6,0.6,57.1,0.0,20.1,1025.9,7,1915.3593127472996
2981.265327243857,9.7,-1.8,49.2,0.0,16.6,1027.0,7,1924.8484919470216
3016.9202001253348,11.5,-1.2,44.3,0.0,17.7,1023.4,7,1914.1871751702024
3001.954326277297,12.1,0.2,46.5,0.0,18.1,1021.1,7,1943.1124762619347
3001.954326277297,12.9,2.6,51.2,0.194,27.0,1019.3,5,1943.1124762619347
3017.7885919692376,15.5,3.8,51.3,0.0,22.6,1012.5,8,1910.741403368215
3019.5561239132694,15.2,4.3,51.9,0.0,49.7,1004.1,9,1899.7812378298008
3000.1608332076594,11.9,-2.3,39.4,0.0,52.9,1002.4,8,1922.1923201829848
3000.151563946579,12.3,-8.5,25.0,0.0,51.4,1010.5,8,1913.7287367627705
3000.0553613079724,8.8,0.0,55.3,0.0,17.6,1020.7,8,1917.0218301077475
2999.9684279304465,11.9,2.0,52.5,0.0,33.9,1015.4,6,1928.7785068729395
2996.630905977651,14.1,1.8,45.2,0.0,43.8,1007.3,5,1913.8357093916973
3025.329778102621,11.5,-2.0,40.4,0.0,29.5,1012.6,5,1906.289388099187
2976.745081346979,11.6,-2.9,39.1,0.0,19.4,1011.7,5,1919.034875079916
3000.1913134255938,13.5,-2.9,34.1,0.0,24.5,1006.3,8,1918.629992138808
3000.1913134255938,7.1,-1.6,54.8,0.0,42.5,1012.4,8,1918.629992138808
2972.72550749405,6.8,-5.3,49.2,0.0,24.1,1019.8,8,1907.9103791568084
2974.456487558105,9.1,-8.5,32.8,0.0,15.5,1017.3,8,1911.9014931098995
3000.8459287769874,10.5,-11.9,23.3,0.0,31.6,1017.5,8,1912.9566561126303
3000.8459287769874,12.6,-11.0,19.5,0.0,18.4,1019.3,7,1912.9566561126303
3012.4698168660366,13.7,-6.2,27.2,0.0,29.6,1016.9,6,1914.5362476822136
3001.5812761772904,3.1,-4.6,58.0,0.0,29.4,1026.0,6,1895.35148349351
2999.800186438425,4.6,-6.9,45.2,0.0,16.2,1021.6,8,1922.851375160796
2999.9222806868183,11.3,-6.3,34.0,0.0,22.2,1019.0,8,1918.0218122526303
3000.16782606024,16.9,-9.9,19.7,0.0,25.8,1021.0,9,1898.520477991468
3000.5765159789744,17.5,-12.2,15.4,0.0,35.3,1015.8,9,1890.219910378945
3000.541009273328,17.5,-8.3,17.3,0.0,22.3,1016.0,9,1902.592391228426
3000.220263773976,12.4,-4.2,32.1,0.0,13.0,1020.8,8,1908.5936683374305
