aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
2985.351652205948,17.1,4.5,45.4,0.0,51.8,1002.3,9.0,1910.6540717362336
2990.260139810665,9.8,-1.2,50.8,0.0,46.4,1013.9,10.0,1912.336613702489
3000.0771072385724,13.2,-4.1,35.0,0.0,27.7,1015.6,10.0,1896.3259392893456
3000.2434107263653,18.4,-2.9,29.8,0.0,24.1,1011.7,10.0,1905.3102868967608
3000.4097142141586,21.4,-5.8,16.3,0.0,44.6,1008.5,10.0,1914.294634504177
3005.278694273753,17.5,-2.8,28.1,0.0,63.0,1004.3,9.0,1881.299995268492
3000.216196036276,15.3,-12.5,14.8,0.0,51.8,1008.7,10.0,1904.7630921709235
3000.216196036276,13.2,-5.9,27.3,0.299,29.5,1008.5,8.0,1904.7630921709235
3015.760092557125,8.6,4.6,77.9,16.931,51.8,1009.6,3.0,1885.8925972782545
2985.8156852813618,12.0,4.5,63.7,0.001,40.6,1013.2,10.0,1888.741667763615
3000.263484290798,12.9,3.5,56.6,0.0,22.3,1018.4,10.0,1903.158723941109
3000.263484290798,18.2,1.8,41.1,0.0,38.8,1017.2,10.0,1903.158723941109
3000.0284777193324,21.0,0.2,30.0,0.0,42.4,1013.4,10.0,1891.1654956026744
3000.0284777193324,23.0,2.5,31.1,0.0,33.4,1010.0,10.0,1891.1654956026744
2984.4154261778745,23.3,2.1,29.3,0.0,48.2,1003.1,9.0,1910.0922087489496
3000.611428910433,20.3,-6.0,17.7,0.0,48.2,1006.4,10.0,1891.335617720084
3000.464303880364,21.1,-3.4,23.0,0.0,25.9,1009.0,10.0,1886.898958336019
3000.3171788502946,16.4,0.9,37.4,0.0,42.5,1012.4,10.0,1882.4622989519544
3014.7025502246765,11.5,2.8,57.6,0.0,31.7,1019.0,6.0,1884.8499030243847
3019.318643455942,9.0,3.1,69.0,12.31,37.1,1021.2,2.0,1913.879009631613
2973.897683765268,10.8,3.7,63.2,0.0,20.5,1025.8,10.0,1913.187695978542
3001.047356000789,15.6,7.4,60.2,0.0,42.5,1017.1,10.0,1917.64176369645
3001.047356000789,22.0,8.7,48.2,0.0,35.2,1009.4,10.0,1917.64176369645
3009.0340146205463,19.1,14.4,76.0,0.0,27.7,1013.1,6.0,1899.463874549846
3030.537862660124,23.7,13.9,62.4,0.0,44.6,1005.3,9.0,1892.3460474211656
3007.3066652353364,21.7,-0.5,26.8,0.0,46.4,1001.4,10.0,1874.8183959796468
3007.3066652353364,22.0,-2.1,22.1,0.0,38.9,1001.2,10.0,1874.8183959796468
3000.052569219801,18.2,2.0,35.9,0.0,37.1,1006.8,10.0,1906.1356793206887
3000.0288506653656,21.0,2.6,34.7,0.0,22.3,1008.6,10.0,1912.215790528124
3000.00513211093,24.3,4.3,32.0,0.0,37.1,1005.9,10.0,1918.29590173556
3006.166024131027,32.7,16.3,39.7,0.0,35.2,1013.2,9.0,1907.3415709131912
3006.166024131027,30.9,15.7,42.1,0.0,22.3,1016.8,9.0,1907.3415709131912
3000.546621045423,30.3,15.6,43.7,0.0,22.3,1014.6,9.0,1905.3176207213608
3000.546621045423,29.1,13.5,40.5,0.0,16.6,1013.6,8.0,1905.3176207213608
3000.430153366005,28.9,12.9,40.3,0.0,22.3,1014.2,10.0,1906.5499873189567
3007.427351625004,30.5,12.5,35.3,0.0,25.9,1014.6,9.0,1905.1313135346804
3009.1050510712703,31.8,10.5,29.5,0.0,20.5,1010.5,9.0,1902.286759607092
3003.7855522585387,30.6,13.4,38.2,3.604,33.5,1009.3,9.0,1900.8608794637785
3000.122663481553,25.2,18.4,67.8,25.039,39.2,1016.6,9.0,1901.844383664328
3000.122663481553,26.6,17.4,60.8,0.0,24.1,1017.4,9.0,1901.844383664328
2976.7527102617537,30.5,15.3,42.9,0.0,37.1,1012.7,9.0,1898.072264511722
3008.1978604151373,30.9,14.8,38.8,0.0,31.6,1011.5,9.0,1920.7241782206704
3008.1978604151373,29.7,15.1,43.0,0.0,31.7,1012.1,9.0,1920.7241782206704
3004.3540521382183,30.5,15.7,41.9,0.0,27.6,1011.0,9.0,1901.4594846879008
3000.322269487325,29.8,17.1,47.8,0.299,25.8,1010.4,9.0,1910.9327128004136
3001.0418898595376,30.1,15.8,45.2,0.0,25.9,1012.0,9.0,1887.299636079932
3001.0418898595376,29.9,14.3,41.3,0.0,33.5,1012.6,9.0,1887.299636079932
2980.993166573689,31.0,12.9,35.3,0.0,25.9,1013.5,9.0,1906.0846555581304
3000.077327469196,31.0,11.1,31.4,0.0,22.3,1014.1,9.0,1884.5580018098349
3000.077327469196,30.7,11.0,31.7,0.0,27.7,1014.8,9.0,1884.5580018098349
3000.0366254049377,33.1,10.0,25.6,0.0,31.6,1012.6,9.0,1901.1081570288527
3000.4056054816656,34.3,8.7,21.5,0.0,31.6,1009.9,9.0,1906.093012824924
3000.774585558394,33.4,8.6,23.1,0.0,35.2,1011.1,9.0,1911.077868620995
2999.990966795956,31.8,13.9,37.0,0.0,42.4,1013.3,9.0,1908.2020263666031
3000.2970020888883,30.7,15.2,40.8,0.0,27.7,1015.4,9.0,1910.0281620375445
3000.6030373818207,27.9,14.3,45.4,0.0,25.9,1017.1,9.0,1911.854297708485
2992.855645038057,26.5,13.1,45.9,0.0,22.3,1016.4,7.0,1893.430126389716
2977.099602945657,26.2,15.4,54.1,0.0,25.9,1014.6,9.0,1912.414710776158
3000.626189299436,25.9,16.8,58.9,0.0,27.7,1013.2,9.0,1890.1129966935696
2976.650037495363,21.2,18.4,84.8,4.749,33.4,1017.2,6.0,1903.578005567814
3011.5656639618296,22.7,16.3,71.4,0.0,22.2,1017.9,8.0,1916.188119179852
2996.6826197151704,14.1,3.2,51.7,0.0,25.9,1011.8,7.0,1920.9945927782303
2978.341733252604,13.8,4.8,58.8,0.0,44.6,1002.8,7.0,1898.019406333112
2978.920184091572,10.1,-2.4,44.7,0.0,48.2,996.9,7.0,1903.5051526945228
2984.826841511312,9.1,1.6,61.6,0.0,42.5,1008.4,7.0,1916.056540498782
3000.072329455102,8.4,2.7,69.2,0.0,24.1,1020.2,7.0,1910.2187249492288
3000.072329455102,9.6,2.5,63.2,0.0,27.7,1017.1,6.0,1910.2187249492288
3016.1023085167976,10.9,3.7,61.8,1.096,42.4,1008.0,5.0,1889.2682186237423
2982.905001690277,11.2,-3.3,40.4,0.0,46.4,1010.2,7.0,1890.3326912515424
3030.071963104255,9.5,-2.2,45.4,0.0,29.5,1011.2,4.0,1902.6416772028456
3009.62009192034,7.0,1.5,69.2,0.299,29.5,1009.6,7.0,1923.497079147019
3015.385799444065,1.0,-0.8,87.9,12.027,38.8,1013.9,3.0,1921.1036397566047
3004.346647754892,-0.9,-4.6,76.7,0.0,20.5,1020.6,8.0,1914.504625857324
3000.062094719568,6.8,-2.0,58.2,0.0,22.2,1017.3,8.0,1914.6875011530376
3000.2837050658763,11.2,-1.6,44.9,0.0,35.3,1014.5,8.0,1914.8315279665649
3000.505315412184,10.8,-2.7,43.9,0.0,27.7,1016.5,8.0,1914.975554780092
3025.51305399912,6.2,-1.0,61.4,0.0,40.7,1016.1,7.0,1892.8701048933808
2970.577984421572,-1.6,-6.8,68.6,0.0,27.7,1027.3,3.0,1920.7920822886035
2980.056923624534,2.8,-4.7,61.5,0.0,27.7,1020.8,8.0,1895.408734584454
3000.391357420956,11.2,-4.6,40.9,0.0,25.9,1015.7,8.0,1912.756713866602
3000.391357420956,14.9,-5.3,30.9,0.0,38.9,1017.1,8.0,1912.756713866602
2989.165498179145,15.2,-6.7,28.8,0.0,48.2,1012.1,8.0,1923.0577076103737
3000.0335730453507,12.2,-3.4,35.1,0.0,33.5,1012.0,8.0,1902.5190620404628
3000.0965695802315,9.9,-2.1,47.5,0.0,16.6,1019.5,8.0,1891.974526993469
3000.1595661151123,12.9,-0.8,43.7,0.0,37.1,1017.3,8.0,1881.4299919464752
3025.9699793378218,17.9,-4.2,26.1,0.0,46.4,1011.5,8.0,1904.970506734228
3023.826938182276,19.8,0.0,29.2,0.0,57.6,1008.6,8.0,1916.109068920668
2996.9039478172217,20.3,0.4,28.0,0.0,72.2,1002.1,4.0,1890.973798417297
3009.849003644425,3.6,-9.9,39.0,0.0,44.6,1023.2,7.0,1917.692262586836
2972.497789472731,3.5,-2.3,67.1,0.956,24.1,1021.9,4.0,1901.401212484932
3000.10287649127,1.2,-4.7,68.3,0.0,11.2,1024.2,6.0,1916.0220153056791
3000.20400772691,3.5,-0.3,77.3,0.0,11.1,1020.1,4.0,1911.240189383805
2988.837612092364,3.3,-3.0,69.9,0.0,18.3,1019.1,4.0,1896.7011176312965
2974.137315826006,2.2,2.1,99.0,0.006,29.5,1013.1,1.0,1911.8046134841604
3016.359114889261,2.6,-0.5,81.4,0.0,31.7,1010.3,6.0,1906.7373725710363
3029.960172185461,2.5,-1.6,75.8,0.0,20.5,1013.9,5.0,1905.8999358152064
2990.3212261688527,5.6,-2.4,59.2,0.0,51.8,1009.4,3.0,1906.922962778748
2978.906256614866,4.4,-3.4,59.0,0.299,61.1,1000.7,6.0,1885.69566034034
3000.353858972858,1.8,-10.5,42.2,0.0,46.4,1012.2,6.0,1865.5326567416284
3000.18094734852,7.6,-8.4,33.4,0.0,44.6,1004.5,6.0,1882.735040236008
3000.0055959581737,6.3,-5.8,47.0,0.0,48.2,1000.6,6.0,1901.0956829708643
3000.0153630222167,0.6,-11.2,45.5,0.0,48.2,1011.4,6.0,1890.5920366410649
3000.027569852268,0.8,-11.5,42.4,0.0,35.3,1013.7,6.0,1878.930131070788
2998.609000043227,-11.5,-19.2,53.4,0.0,22.3,1021.8,7.0,1887.500950510652
3000.02049135315,-10.1,-18.2,53.0,0.0,42.5,1024.1,6.0,1907.7999162908352
3000.0106059088,-8.8,-18.9,45.9,0.0,25.9,1028.7,6.0,1917.209951864443
3000.055696850174,4.0,-12.4,31.9,0.0,35.3,1014.1,6.0,1917.6725439320924
3000.1106732359003,11.3,-3.1,38.5,0.0,40.5,1011.3,6.0,1908.725100426134
2999.988979403006,-3.8,-13.6,49.4,0.0,38.8,1031.1,6.0,1903.6459463094664
2999.988979403006,-4.1,-14.7,45.8,0.0,25.9,1029.5,5.0,1903.6459463094664
3027.1111014368144,0.0,-6.1,65.0,0.0,33.4,1020.1,2.0,1911.7069653481
2999.496999450472,5.8,3.9,88.7,0.0,24.1,1013.0,6.0,1892.521347505436
2975.053660027008,3.7,3.0,95.3,1.394,22.3,1013.8,2.0,1903.3014429649168
3022.5811593790463,5.2,4.4,94.9,9.891,18.3,1015.8,3.0,1897.5638414779853
2978.022725393462,8.3,5.1,82.6,0.0,22.3,1014.5,7.0,1890.3434763840744
3029.796369239041,5.7,4.5,92.5,8.313,27.6,1015.6,2.0,1891.5298700321337
2999.9887518161586,6.7,1.0,70.0,0.0,24.1,1025.9,7.0,1925.87800685458
3000.016714774807,7.5,-0.8,61.2,0.0,24.1,1027.3,7.0,1915.6003803801232
3000.044677733456,7.9,-1.7,56.1,0.0,16.5,1024.8,7.0,1905.3227539056663
3002.966385293213,9.1,-1.4,52.6,0.0,13.0,1022.5,7.0,1908.6698636170447
3027.919095807289,10.1,0.9,55.6,0.0,25.9,1020.6,7.0,1903.3208748033244
