aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.1299873639064,3.9,-1.3,71.1,0.0,16.1,1024.3,6,1922.0863223343176
3000.258269845679,3.9,1.9,86.8,0.0,16.7,1020.0,2,1930.466982950258
3000.9061280444234,3.4,2.2,92.4,0.0,14.6,1020.3,4,1915.9677582191305
3021.9172869205454,4.5,3.5,93.7,0.06,35.4,1013.3,1,1906.0004920102324
3030.260907262707,5.9,-1.3,63.1,0.0,35.9,1011.1,6,1907.9972908989332
3023.851249707008,4.1,-1.7,70.2,0.0,40.6,1014.0,6,1897.364999598827
3000.7515917494657,6.7,-1.4,61.1,0.0,48.6,1010.3,6,1907.7496003927208
3002.190182102687,6.8,-4.6,47.2,0.0,58.0,1004.2,5,1896.3564404637457
3002.377529759384,3.8,-10.2,41.2,0.0,29.0,1014.2,6,1895.9892297103488
3000.572121764705,9.5,-11.5,22.4,0.0,34.1,1006.9,6,1903.308612805833
3000.0114782110813,11.7,-8.6,25.1,0.0,55.1,1002.0,6,1898.25280574764
3000.004999955612,5.5,-12.8,28.9,0.0,50.4,1012.3,6,1896.90356476954
3021.583308297905,6.5,-11.3,30.4,0.0,31.2,1013.0,7,1897.026334733438
3023.0589683894445,-8.4,-14.3,62.6,0.0,27.0,1019.4,6,1917.314863007918
2988.0692375831745,-8.1,-18.2,44.9,0.0,50.1,1022.5,6,1915.3026443374408
2976.96935705052,-7.3,-18.9,39.5,0.0,31.7,1028.7,6,1910.9648013704525
3000.36745803243,2.0,-12.8,34.8,0.0,25.7,1016.9,6,1899.054041659544
3000.49769202405,11.9,-4.6,32.9,0.0,28.6,1013.0,6,1910.9687748156543
3000.293252042388,-0.1,-11.1,45.1,0.0,42.0,1029.1,6,1930.1176514439403
2999.958578069105,-2.1,-13.6,41.7,0.0,22.3,1028.6,6,1937.351794916115
2986.5966962721373,2.3,-3.0,70.5,0.209,40.7,1019.4,3,1924.12124829093
3025.2321420656167,6.7,3.9,84.7,0.209,19.9,1013.4,6,1929.894811771565
3029.7667737765096,9.3,6.7,85.7,1.553,24.8,1012.0,5,1923.09296353106
2980.292261637155,8.8,6.9,89.4,0.205,19.8,1014.6,6,1929.662166580217
3003.963737198196,9.7,4.1,73.1,0.0,26.4,1015.0,6,1913.3111491142213
2995.772871730364,9.6,4.7,73.5,2.248,32.3,1014.9,6,1893.7720464410145
3000.0043530272083,8.5,1.7,66.2,0.0,24.3,1026.0,6,1924.3117263852585
3000.1195465277733,9.0,-0.5,57.3,0.0,17.5,1027.7,6,1913.3906650639103
3000.234740028338,10.3,-0.7,50.2,0.0,13.5,1024.5,7,1902.4696037425624
3009.0224535702155,10.3,0.0,53.5,0.0,8.4,1022.3,6,1896.0969517902045
3007.3797332548265,11.8,1.3,51.3,0.0,20.9,1020.6,5,1911.2000447092075
3029.586626851901,15.0,4.4,52.5,0.0,23.3,1013.2,7,1900.996687317241
2986.9788575722755,15.0,5.5,58.7,0.0,54.5,1004.3,6,1921.51179065529
3021.24355740496,11.3,-2.0,41.9,0.0,50.1,1001.2,7,1910.0765022148323
3000.130760113775,11.3,-5.2,32.5,0.0,40.8,1009.6,7,1911.6901707429984
3000.1547568232254,8.3,2.2,67.7,0.0,19.8,1020.8,7,1909.827797917926
3000.178753532676,10.4,3.0,62.8,0.0,28.6,1017.3,7,1907.965425092853
2977.364297238292,12.5,3.3,54.0,0.0,37.3,1008.6,5,1929.9872857698372
2997.530133536389,10.5,-2.0,43.7,0.0,31.5,1013.1,5,1926.717209111025
2985.9973986506325,11.7,-2.7,42.1,0.0,24.5,1012.1,5,1893.3977730662425
3000.522360210716,13.2,-0.7,42.6,0.099,30.8,1007.2,8,1908.4462434310533
3000.522360210716,5.0,2.0,81.9,1.037,35.8,1012.7,5,1908.4462434310533
3000.0080059939146,5.6,-2.5,61.1,0.0,25.4,1019.8,7,1927.5241722725807
3000.0080059939146,9.2,-3.9,46.8,0.0,22.6,1017.1,7,1927.5241722725807
3001.177443490019,12.7,-2.8,40.2,0.0,25.4,1015.6,7,1912.6125877927907
3001.177443490019,13.4,-0.3,49.6,0.0,22.3,1017.2,6,1912.6125877927907
3017.2165987639837,11.3,2.3,56.6,0.0,33.2,1015.0,6,1919.8558471954004
2992.364273436887,0.9,-5.6,63.3,0.0,33.2,1025.5,7,1899.1011770461892
3000.238700772653,3.6,-5.9,51.5,0.0,23.4,1021.8,7,1917.43482708262
3000.7481361025425,13.1,-4.2,35.6,0.0,23.0,1016.8,8,1914.234291661046
3002.959159839719,17.6,-3.8,29.1,0.0,29.5,1018.3,8,1903.226094483956
3003.7843409555853,19.2,1.4,35.6,0.0,34.5,1013.0,8,1891.93616945362
3001.5201127172195,16.0,-6.2,22.2,0.0,31.0,1012.5,8,1898.316566719136
3000.1322917702755,12.0,-1.1,42.2,0.0,15.5,1019.0,7,1908.1792272594696
3000.825390845224,15.0,0.6,40.0,0.0,30.5,1017.7,8,1915.680343759646
3000.825390845224,18.5,-3.1,29.0,0.0,24.5,1013.9,8,1915.680343759646
2996.6985086014543,21.6,-1.8,21.7,0.0,28.7,1010.9,6,1917.709126018174
2981.682417769489,21.1,-1.4,23.2,0.0,49.4,1005.7,4,1912.570845783588
2979.547655329747,8.0,-7.2,34.1,0.0,41.5,1021.5,4,1929.154625434116
3000.983639862038,5.6,1.8,79.1,7.511,26.4,1021.8,8,1895.000451591953
3000.629024512786,13.3,2.6,55.4,0.0,24.4,1015.6,8,1901.3616218285213
3000.274409163534,17.3,-0.3,34.2,0.0,31.5,1012.1,8,1907.7227920650896
3030.215417852012,17.8,-5.6,23.8,0.0,43.5,1007.6,6,1911.1966233814312
3013.5565533480512,17.6,-0.9,35.8,0.0,28.3,1008.1,8,1925.2084558509016
2983.734195158785,17.0,-3.4,27.4,0.0,22.0,1010.2,9,1928.599008147787
3016.896076430949,16.6,0.9,43.9,0.0,22.0,1009.3,8,1902.7163493152311
3019.0527020730606,18.5,4.0,43.5,0.0,31.0,1003.8,7,1917.8419707458197
3026.054186004541,10.6,0.3,52.1,0.0,36.6,1011.6,8,1898.871198671972
2992.0324728178603,6.5,-1.8,56.7,0.0,27.3,1023.3,8,1922.21584666918
3000.156213934652,9.6,-1.8,47.8,0.0,19.2,1021.9,8,1928.5019366015788
2996.1907281240683,14.1,0.0,42.7,0.0,22.8,1017.5,8,1926.3902640472324
2981.112112735906,18.3,2.3,44.9,0.0,26.8,1011.6,8,1928.419201878993
3001.6701604843024,19.5,-0.9,37.2,0.0,40.7,1005.6,8,1897.9608037798664
