aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.235269799712,4.3,-0.9,72.6,0.0,14.8,1022.8,6,1915.8876221995893
3000.468775282025,3.5,2.0,90.1,0.0,13.0,1019.8,2,1924.6971226654127
3000.3496499223183,5.2,2.8,86.1,0.0,11.2,1019.8,5,1958.937892684412
3000.3496499223183,5.3,4.1,92.2,0.5,33.5,1014.8,2,1958.937892684412
3000.0007402365936,7.0,-0.1,64.5,0.5,27.7,1013.0,7,1921.4854786381009
3000.0007402365936,5.0,-1.7,67.2,0.0,22.3,1016.0,6,1921.4854786381009
3000.246265238673,6.5,-0.6,65.1,0.0,55.4,1011.9,7,1919.560151854433
3000.246265238673,8.1,-3.5,49.5,0.0,59.4,1007.7,7,1919.560151854433
3000.803796065417,3.8,-10.1,38.0,0.0,24.1,1014.8,7,1896.8234883940183
3000.4126869531337,7.5,-9.3,31.4,0.0,25.9,1006.8,7,1897.7519621436493
3000.012709073654,10.5,-6.9,32.0,0.0,50.0,1003.8,7,1907.42958303776
3000.003840306458,6.4,-11.1,30.5,0.0,53.6,1013.8,7,1916.17873018224
2983.829296121159,7.7,-9.3,31.1,0.0,20.5,1013.8,6,1913.4542051413616
2989.5274335843583,-5.7,-9.5,75.9,0.0,18.4,1017.1,5,1905.758889132078
3000.080166606978,-7.5,-13.3,64.4,0.0,29.5,1019.0,7,1925.1822523662515
3000.0403440217915,-8.5,-18.3,47.1,0.0,29.5,1025.5,7,1941.1230879812472
3000.200054871508,0.1,-11.2,44.7,0.0,29.5,1015.1,7,1929.032610331276
3000.318270278867,10.3,-2.8,42.7,0.0,24.1,1011.4,7,1912.488630314763
3000.090431122996,1.0,-9.3,49.1,0.0,38.9,1026.9,7,1916.2964490621907
2999.9439099946685,-1.5,-12.9,43.1,0.0,16.6,1025.6,7,1908.6169345611645
3016.4212662047034,2.5,-1.9,73.9,1.9,37.1,1018.2,4,1914.3157116040863
3016.247190650028,9.4,5.8,81.1,0.9,27.7,1013.6,6,1930.809145460287
2978.2702350293976,10.8,7.9,84.1,1.9,18.4,1013.0,5,1906.9876857287036
2980.8874806423164,11.3,7.7,80.5,4.4,14.8,1015.9,5,1927.8975887596655
3009.9023616639265,11.9,4.9,66.2,0.0,20.5,1016.0,6,1922.546197120737
3000.0334353745707,11.6,5.8,71.2,0.0,27.7,1015.7,7,1907.7897949894943
3000.017650262412,8.8,2.2,66.6,0.0,22.3,1025.8,7,1926.845927163484
3000.030588711912,9.1,0.0,57.7,0.0,14.8,1026.4,7,1932.3810156756265
3000.059312273572,10.2,0.7,55.0,0.0,16.6,1023.4,7,1918.85997201378
3004.244708107856,11.2,1.1,54.0,0.0,9.4,1021.2,7,1891.6486792292133
3004.244708107856,12.3,1.3,51.2,0.0,16.6,1019.7,7,1891.6486792292133
3000.082715680133,15.1,6.0,57.2,0.0,22.3,1013.5,7,1870.4425966957792
3000.082715680133,15.1,7.8,68.5,1.4,35.3,1005.4,7,1870.4425966957792
2986.3104925380326,11.7,-1.4,44.0,0.5,51.8,1004.8,8,1898.030933957623
3000.160360226917,11.7,-3.4,35.5,0.0,44.3,1010.1,8,1917.3841843081384
3000.1422332732163,8.7,3.1,71.4,0.0,20.5,1018.9,7,1919.4817386229024
3000.124106319516,10.2,3.4,68.0,0.0,24.1,1014.7,7,1921.579292937667
2985.859578168376,12.4,5.4,64.3,0.0,38.9,1008.1,6,1916.9781769158249
3010.863976259962,11.6,-0.9,46.5,0.0,22.3,1013.3,6,1898.2705471892143
