aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.4329169899474,5.7,-6.1,44.9,0.0,27.7,1020.4,7,1923.6051207661817
3000.8493673942808,6.3,-2.0,56.1,0.3,18.4,1019.0,6,1912.217365680284
3002.5413779401474,6.3,-3.5,52.2,0.0,22.3,1018.5,6,1898.7654332371824
3002.5413779401474,5.0,-4.4,51.4,0.0,53.6,1012.8,4,1898.7654332371824
3000.01914899371,5.2,-5.2,48.4,0.0,55.4,1014.0,7,1904.5607600206315
3000.01914899371,4.1,-8.1,45.0,0.0,35.3,1017.2,7,1904.5607600206315
2980.8132179762065,5.2,-12.9,30.5,0.0,42.5,1007.9,7,1900.240515307004
3015.1463877723927,2.6,-11.9,34.6,0.0,81.4,1012.8,7,1899.760272858971
3000.25180568904,1.9,-15.0,30.8,0.0,31.3,1015.0,7,1870.1395213036733
3000.13046810156,5.8,-13.9,23.9,0.0,50.0,1007.3,7,1870.3196131957263
3000.0091305140804,7.5,-9.2,31.3,0.0,88.9,1006.2,7,1870.499705087779
2983.87102290901,4.0,-13.9,28.5,0.3,79.6,1015.2,7,1879.8801627475975
3001.674434948109,7.3,-13.7,22.2,0.0,31.3,1012.7,7,1911.5331965639523
3000.877401383428,9.3,-10.9,23.9,0.0,35.3,1010.0,7,1904.1252133556327
3000.055262214876,6.7,-7.4,37.9,0.0,61.2,1012.5,7,1892.37494598571
3000.0211178776326,-4.4,-16.5,39.8,0.0,57.2,1018.8,7,1933.6352062095416
3000.0120791442614,5.1,-11.2,31.6,0.0,24.1,1012.0,7,1979.237750594978
3000.081306697789,12.9,-5.1,28.8,0.0,46.4,1011.8,7,1897.2094776329152
3001.344199704592,3.5,-7.4,46.4,0.0,50.0,1022.4,7,1908.4283678398965
3002.6070927113947,-0.2,-13.4,37.3,0.0,40.7,1018.6,7,1919.647258046878
3027.606440866576,7.0,-6.4,38.6,0.0,18.4,1013.6,6,1889.9845941325152
3004.530214633675,10.0,-1.1,47.7,0.0,27.7,1012.5,7,1874.094443570389
3031.0053400552088,9.3,3.0,65.6,9.0,18.4,1013.0,5,1883.5608735610467
3020.7350667055503,7.9,1.9,67.6,3.9,24.1,1016.5,5,1873.8998092227853
3023.7206999550303,8.7,-0.4,54.9,0.0,25.9,1016.0,7,1906.70124439396
2984.1024833888077,8.8,-0.5,53.8,0.0,35.3,1018.4,7,1876.8095548818608
3001.1444000372708,6.9,-2.1,55.2,0.0,31.3,1026.6,7,1885.47034847456
3002.06487041768,8.7,-4.6,41.5,0.0,22.3,1024.4,7,1894.002170714135
3002.98534079809,10.6,-3.8,38.2,0.0,16.6,1021.3,7,1902.53399295371
2997.819331721048,12.0,-3.3,35.8,0.0,22.3,1019.9,7,1908.0942881658784
2981.743581828614,12.7,-0.5,40.8,1.6,18.4,1018.3,6,1906.334962214243
2998.632028060528,13.6,1.2,44.8,0.0,18.4,1012.9,7,1899.7575144248333
3010.324733330009,12.0,-0.2,44.0,0.3,48.2,1008.0,6,1895.6926652116692
2973.8853229878355,8.0,-3.6,46.2,0.0,74.2,1008.6,7,1887.8803114298007
2999.939236334755,8.4,-7.6,34.4,0.0,61.2,1013.9,8,1885.6339099334523
3000.095710362365,8.6,-4.6,40.4,0.0,25.9,1017.1,8,1891.826436195512
3000.2521843899744,11.7,-4.0,36.2,0.0,24.1,1010.1,6,1898.018962457572
3026.472571738791,12.0,-2.6,36.6,0.0,44.3,1008.5,5,1878.558316846837
3024.444565990269,8.8,-3.9,43.5,0.0,35.3,1013.2,8,1899.0868440198485
3018.812561684289,9.0,-5.5,36.8,0.0,29.5,1013.1,6,1907.8883012198407
2996.0972220856547,8.8,-4.6,40.4,0.0,27.7,1010.5,8,1876.942961930833
2973.0032136658715,2.3,-3.5,66.0,0.6,37.1,1018.6,5,1899.33571192871
3003.099990830906,4.1,-7.5,47.4,0.0,16.6,1020.0,8,1891.9457784028343
3005.01186270168,7.9,-10.4,29.0,0.0,18.4,1015.1,8,1895.07828693846
3009.7451309896987,10.7,-10.8,23.3,0.0,29.5,1015.8,8,1890.284219741556
3012.566527406943,12.4,-10.7,20.0,0.0,16.6,1017.3,8,1882.3576440090253
3000.32511270596,13.2,-8.7,22.6,0.0,31.3,1014.9,8,1883.1295797165087
3000.32511270596,3.1,-4.6,58.1,0.0,42.5,1020.7,8,1883.1295797165087
3000.64265332092,4.8,-6.5,46.5,0.0,25.9,1018.3,8,1896.354999017912
3000.5465020595,11.9,-5.4,32.8,0.0,20.5,1016.4,8,1899.031125718204
3004.550216617616,15.6,-9.6,19.0,0.0,18.4,1016.9,8,1879.4721974332392
3008.650082437151,16.9,-11.7,14.1,0.0,51.8,1012.3,8,1857.237142447984
3000.087971725951,14.1,-6.7,24.0,0.0,53.6,1013.6,8,1869.4257940249097
3000.087971725951,11.9,-5.0,30.9,0.0,31.3,1018.0,7,1869.4257940249097
3000.4717924040347,13.9,-4.4,31.0,0.0,18.4,1015.9,8,1907.794617135263
3000.4717924040347,17.9,-6.2,20.3,0.0,35.3,1013.4,8,1907.794617135263
3000.275776446307,20.1,-3.8,21.3,0.0,37.1,1010.9,8,1894.0731889767696
3002.9112757738176,19.2,-2.0,24.1,0.0,53.6,1007.6,5,1891.7912901668928
3012.697672057695,10.1,-2.5,43.2,3.8,44.3,1019.2,6,1898.258087198332
3026.781922069139,7.9,1.4,65.4,18.0,35.3,1019.5,8,1877.5649184147856
3000.7747054061574,12.6,-0.9,43.9,0.0,27.7,1015.5,9,1886.444415554316
3005.3779881523783,14.8,-6.1,26.3,0.0,29.5,1012.5,9,1884.7957869869929
3009.981270898599,15.6,-9.4,18.2,0.0,48.2,1007.6,9,1883.1471584196693
2988.4538678506738,15.0,-5.9,23.8,0.0,37.1,1009.4,9,1891.8169614072424
3026.317707922679,13.6,-5.8,27.1,0.0,22.3,1012.0,9,1895.3224442954488
2980.067551315516,15.6,-7.4,21.1,0.0,25.9,1009.6,8,1904.4686717475688
2995.089651443549,15.7,-6.8,21.7,0.0,42.5,1006.0,9,1884.721675267468
2984.348080383003,10.1,-2.5,42.9,0.3,46.4,1014.8,9,1876.0559971468308
3012.774959386817,6.0,-4.3,49.8,0.0,42.5,1023.7,9,1905.868199037136
